month_t,karr,pbail,pptrel,pror,pb4c,avg_days_initial,avg_t2d,pstint7,pstint30
3,1989,0.6274509804,0.0165912519,0.3559577677,0.6882855706,10.220432813,197.46703854,0.1930618401,0.0734037205
4,2146,0.5740913327,0.018639329,0.4072693383,0.697110904,7.7861136999,197.68269684,0.1551724138,0.0507921715
5,1800,0.545,0.0205555556,0.4344444444,0.6294444444,8.6327777778,209.46019198,0.1555555556,0.05
6,1778,0.4713160855,0.03712036,0.4915635546,0.5708661417,8.8987626547,211.69428571,0.1580427447,0.0579302587
7,2061,0.5012130034,0.0359049005,0.4628820961,0.5851528384,7.8296943231,207.9019802,0.154294032,0.0456089277
8,1713,0.4915353182,0.0268534734,0.4816112084,0.5294804437,9.3584354933,209.40754039,0.1290134267,0.054290718
9,1960,0.4668367347,0.0295918367,0.5035714286,0.5341836735,8.231122449,194.65812859,0.137755102,0.0525510204
10,1961,0.4910759816,0.0356960734,0.4732279449,0.5634880163,7.7783452503,186.24662513,0.1432942376,0.0458949516
11,1921,0.4419573139,0.0286309214,0.5294117647,0.5564809995,6.5278500781,191.16710875,0.1405517959,0.04008329
12,1850,0.5113513514,0.0281081081,0.4605405405,0.592972973,9.0686486486,174.94033149,0.1745945946,0.0664864865
13,1986,0.5146022155,0.0156092649,0.4697885196,0.5528700906,7.6782652547,180.12720665,0.1535750252,0.0513595166
14,1986,0.5035246727,0.0221550856,0.4743202417,0.5916414904,7.9631499243,172.19280875,0.1717019134,0.0483383686
15,1901,0.4813256181,0.0131509732,0.5055234087,0.5644397685,7.1236842105,168.1501355,0.1562335613,0.050499737
16,1968,0.4913617886,0.0330284553,0.4756097561,0.5406504065,8.0772750381,168.46936601,0.1427845528,0.0518292683
17,1830,0.4950819672,0.0306010929,0.4743169399,0.5683060109,6.7736468015,166.13295455,0.1338797814,0.0453551913
18,1850,0.5205405405,0.0318918919,0.4475675676,0.5875675676,7.7460747158,160.60490308,0.1654054054,0.0551351351
19,1856,0.494612069,0.0215517241,0.4838362069,0.5743534483,6.8152350081,144.378502,0.1487068966,0.0474137931
20,1813,0.5201323773,0.0231660232,0.4567015996,0.5752895753,5.6142384106,148.23792697,0.1279646994,0.0386100386
21,2011,0.5101939334,0.0283441074,0.4614619592,0.6011934361,7.0743512974,153.28042895,0.1422178021,0.0507210343
22,1993,0.4942298043,0.0311088811,0.4746613146,0.5489212243,6.0977822581,149.72595887,0.1274460612,0.0426492725
23,2031,0.4790743476,0.0334810438,0.4874446086,0.584441162,6.857850421,143.54388799,0.1319547021,0.0561299852
24,1891,0.5140137493,0.0232681121,0.4627181386,0.5748281333,6.4570666667,129.11058264,0.1385510312,0.0571126388
